leg	[ leg ]	нога
cement	[ si'ment ]	цемент, основа
foundation	[ faun'dei??n ]	основание
brick	[ brik ]	кирпич
board	[ b?:d ]	"садиться на пароход, самолет; доска"
wheelbarrow	[ 'wi:l‚b?r?? ]	тачка
detective	[ di'tektiv ]	детектив(ный)
suspect	[ s?s'pekt ]	подозревать
gun	[ g?n ]	ружье, пушка
judge	[ ??? ]	судья
witness	[ 'witnis ]	свидетель
jury	[ '?u?ri ]	присяжные, жюри
petrol	[ 'petr?l ]	бензин
gasoline	[ 'g?s?uli:n ]	газолин, бензин (амер.)
aerial	[ '??ri?l ]	воздушный, антенна
attachment	[ ?'t??m?nt ]	привязанность, прикрепление
vanity	[ 'v?niti ]	тщеславие
incomprehensible	[ in'k?mpri'hens?bl ]	непонятный, непостижимый
apron	[ 'eipr(?)n ]	фартук
hockey	[ 'h?ki ]	хоккей
fencing	[ 'fensi? ]	ограждение
flora	[ 'fl?:r? ]	флора (TR!)
cell	[ sel ]	камера, ячейка
evolution	[ ,i:v?'lu:??n ]	развитие (TR!)
creation	[ kri'ei?(?)n ]	создание (похоже на creature)
family	[ 'f?mili ]	семья
species	[ 'spi:?i:z ]	порода
oxygen	[ '?ksi??n ]	кислород
grammar	[ 'gr?m? ]	грамматика
spell	[ spel ]	писать или произносить (слово) по буквам
spelling	[ 'speli? ]	орфография, правописание
article	[ '?:tikl ]	статья, предмет, изделие
word	[ w?:d ]	слово, обещание
sentence	[ 'sent?ns ]	предложение
phrase	[ freiz ]	фраза
syllable	[ 'sil?bl ]	слог
subject	[ 's?b?ikt ]	предмет, содержание, подчинять
predicate	[ 'predikit ]	сказуемое (грам.)
object	[ '?b?ikt ]	возражать, предмет
case	[ keis ]	случай, состояние
tense	[ tens ]	время (грам.)
mood	[ mu:d ]	настроение
voice	[ v?is ]	голос
dialect	[ 'dai?lekt ]	диалект (TR!)
rule	[ ru:l ]	правило, принцип, норма, управлять, решать
exception	[ ik'sep?n ]	исключение
temperature	[ 'tempri?? ]	температура
headache	[ 'hedeik ]	головная боль
rash	[ r?? ]	"стремительный, поспешный, опрометчивый; сыпь"
pain	[ pein ]	боль, страдание
sick	[ sik ]	больной
hurt	[ h?:t ]	рана, болеть, причинить боль, повредить
unconscious	[ ?n'k?n??s ]	бессознательный
sore	[ s?: ]	больной, воспаленный (не sick)
faint	[ feint ]	слабый
dizzy	[ 'd?z? ]	головокружительный
twist	[ tw?st ]	вить(ся), крутить, скручивать
burn	[ b?:n ]	гореть, жечь, сжигать
bruise	[ bru:z ]	ушибать, синяк, ушиб
medicine	[ 'medsin ]	медицина, лекарство
stitch	[ sti? ]	стежок, петля (в вязании), шить
drug	[ dr?g ]	лекарство, наркотик
wound	[ wu:nd ]	рана
bandage	[ 'b?ndi? ]	бинт, повязка, перевязывать, бинтовать
wife	[ waif ]	жена
husband	[ 'h?zb?nd ]	муж
mother	[ 'm??? ]	мама
father	[ 'f?:?? ]	папа
daughter	[ 'd?:t? ]	дочь
son	[ s?n ]	сын
sister	[ 'sist? ]	сестра
brother	[ 'br??? ]	брат
baby	[ 'beibi ]	ребенок
grandmother	[ 'gr?ndm??? ]	бабушка
grandfather	[ 'gr?ndf?:?? ]	дедушка
grandson	[ 'gr?nds?n ]	внук
aunt	[ ?:nt ]	тетя
uncle	[ ??kl ]	дядя
niece	[ ni:s ]	племянница
nephew	[ 'nevju: ]	племянник
cousin	[ k?zn ]	двоюродный брат
stationery	[ 'stei?n?ri ]	писчебумажные принадлежности
folder	[ 'f?uld? ]	папка (для дел), брошюра (амер.)
strawberry	[ 'str?:b?ri ]	земляника
raspberry	[ 'r?:zb?ri ]	малина
shift	[ ?ift ]	смена, перемещать
tiring	[ 'tai?ri? ]	утомительный
tough	[ t?f ]	жесткий
labour	[ 'leib? ]	труд, трудиться
capital	[ 'k?pitl ]	столица
stock	[ st?k ]	запас, снабжать (не spare, hoard)
handle	[ h?nl ]	обращаться с, управлять (не manage)
lean	[ li:n ]	прислоняться, наклоняться, наклон
threaten	[ ’?ret?n ]	грозить, угрожать
opportunity	[ ,?p?'tju:niti ]	возможность
announce	[ ?'nauns ]	объявлять
sure	[ ?u? ]	уверенный, убедиться, безусловно
pressure	[ 'pre?? ]	давление
pleasure	[ 'ple?? ]	удовольствие
surely	[ '?u?li ]	несомненно
assure	[ ?'?u? ]	уверять, обеспечивать
measure	[ 'me?? ]	мера
treasure	[ 'tre?? ]	сокровище
deliver	[ di'liv? ]	доставлять, передавать
entirely	[ in'tai?li ]	совершенно, полностью, исключительно
rapidly	[ 'r?pidl? ]	быстро
hesitate	[ 'heziteit ]	колебаться
bit	[ bit ]	кусочек, немного
trolley	[ 'tr?li ]	тележка
cab	[ k?b ]	наемный экипаж, извозчик, такси
steep	[ sti:p ]	крутой (не sharp)
cram	[ kr?m ]	запихивать, пичкать, учить наспех, натаскивать (к экзаменам) ( не poke)
chemist	[ 'kemist ]	химик, аптекарь
seller	[ 'sel? ]	торговец (не trader)
complaint	[ k?m'pleint ]	жалоба
bargain	[ 'b?:gin ]	сделка
resign	[ ri'zain ]	уходить в отставку
participate	[ p?:'tisipeit ]	участвовать
disadvantage	[ ,dis?d'v?:nti? ]	неудобство
lumber	[ 'l?mb? ]	лесоматериалы
crop	[ kr?p ]	урожай
troops	[ tru:ps ]	войска
brand	[ br?nd ]	головня, клеймо, фабричная марка, сорт, клеймить
advise	[ ?d'vais ]	советовать
anticipate	[ ?n'tisipeit ]	предвидеть
appreciate	[ ?'pri:?ieit ]	оценивать
avoid	[ ?'v?id ]	избегать, избежать
complete	[ c?m'pli:t ]	полный, законченный
delay	[ di'lei ]	отсрочка
deny	[ di'nai ]	отрицать, отвергать
discuss	[ dis'k?s ]	обсуждать
dislike	[ dis'laik ]	"нелюбовь, неприязнь; не любить"
beat	[ bi:t ]	ударить, бить
bet	[ bet ]	держать пари, пари
absorb	[ ?b's?:b ]	поглощать, всасывать, впитывать
toast	[ t?ust ]	тост (жар. хлеб), сушить
swig	[ swig ]	потягивать вино
enjoy	[ in'j?i ]	любить, получать удовольствие
excuse	[ iks'kju:s ]	извинять
fancy	[ 'f?nsi ]	воображать, представлять себе
finish	[ 'fini? ]	кончать(ся), заканчивать(ся), конец, финиш
forget	[ f?'get ]	забыть
imagine	[ im??in ]	думать, воображать
involve	[ in'v?lv ]	втягивать, вовлекать
mind	[ maind ]	память, мнение, помнить, возражать
miss	[ mis ]	промах, промахнуться, пропустить, скучать
postpone	[ p?ust'p?un ]	отсрочивать
practise	[ 'pr?ktis ]	заниматься
quit	[ kwit ]	прекращать
recall	[ ri'k?:l ]	припомнить, отозвать
recollect	[ ,rek?'lekt ]	припоминать
regret	[ ri'gret ]	жалеть
remember	[ ri'memb? ]	помнить
resent	[ ri'zent ]	обижаться, возмущаться
resist	[ ri'zist ]	сопротивляться
risk	[ risk ]	риск, рисковать
harsh	[ h?:? ]	грубый, резкий (не sharp)
feeble	[ 'fi:bl ]	слабый, бледный
juvenile	[ '?u:vinail ]	юноша, подросток
misery	[ 'miz?ri ]	страдания, нищета
destitute	[ 'destitju:t ]	сильно нуждающийся
endless	[ 'endlis ]	бесконечный
parents	[ 'p??r?nts ]	родители (от parent)
relative	[ 'rel?tiv ]	родственник
trick	[ trik ]	хитрость, обман, обманывать
fake	[ feik ]	подделка (!NEW!)
anxious	[ '??k??s ]	беспокойный
hover	[ 'h?v? ]	парить, вертеться
pitch	[ pi? ]	бросок, уровень, сооружать
circuit	[ 's?:kit ]	кругооборот, окружность
score	[ sk?: ]	счет, отметка, выигрывать
selfish	[ 'selfi? ]	эгоистичный
jealous	[ '?el?s ]	ревнивый
affectionate	[ ?'fek?nit ]	любящий, нежный
charming	[ '??:mi? ]	очаровательный, прелестный
independent	[ ,indi'pend?nt ]	независимый
reliable	[ ri'lai?bl ]	надежный
sensible	[ 'sens?bl ]	разумный
sensitive	[ 'sens?tiv ]	чувствительный
sociable	[ 's?u??bl ]	общительный
mean	[ mi:n ]	означать
insecure	[ ,insi'kju? ]	ненадежный, небезопасный (insecure)
lazy	[ 'leizi ]	ленивый
shy	[ ?ai ]	застенчивый, робкий
patient	[ 'pei??nt ]	пациент, терпеливый
responsible	[ ris'p?ns?bl ]	ответственный
tidy	[ 'taidi ]	чистый, аккуратный, убирать, приводить в порядок
mentally	[ 'ment?li ]	умственно
weird	[ w??rd ]	судьба, рок, таинственный, странный
turn	[ t?:n ]	поворачивать, вращать, оборот, поворот, очередь
false	[ f?:ls ]	ложный
true	[ tru: ]	правильный, верный
figure	[ 'fig? ]	фигура
soul	[ s?ul ]	душа, воплощение
fight	[ fait ]	бороться, бой
strict	[ strikt ]	точный
stuffy	[ 'st?fi ]	душный
meat	[ mi:t ]	мясо, мясной
ham	[ h?m ]	ветчина
pork	[ p?:k ]	свинина
beef	[ bi:f ]	говядина
sausage	[ s?:si? ]	колбаса, сосиска
milk	[ milk ]	молоко
cheese	[ ?i:z ]	сыр
bread	[ bred ]	хлеб
butter	[ 'b?t? ]	масло
sugar	[ '?ug? ]	сахар
pie	[ pai ]	пирог
salt	[ s?:lt ]	соль, соленый, солить
soup	[ su:p ]	суп
millet	[ 'milit ]	просо, пшено
sandwich	[ 's?nwi? ]	бутерброд
regarding	[ ri'g?:di? ]	относительно
gain	[ gein ]	прибыль
essential	[ i'sen?(?)l ]	обязательный, существенный, важный
deceptive	[ di'septiv ]	обманчивый
flood	[ fl?d ]	наводнение
grasp	[ gr?:sp ]	понять, схватить
aware	[ ?'w?? ]	сознающий
stop	[ st?p ]	остановка, перестать, остановиться
suggest	[ s?'?est ]	предлагать, советовать
tolerate	[ 't?l?reit ]	терпеть
understand	[ ,?nd?st?nd ]	понимать, подразумевать
riddle	[ ridl ]	загадка (не enigma)
accuse	[ ?'kju:z ]	обвинять
congratulate	[ k?n'gr?tjuleit ]	поздравлять
prevent	[ pri'vent ]	предотвращать, препятствовать
thank	[ ???k ]	благодарить
forgive	[ f?'giv ]	прощать
warn	[ w?:n ]	предупреждать
growth	[ gr?u? ]	рост
impact	[ n'imp?kt ]	удар (не stroke)
ample	[ '?mpl ]	обширный, просторный
fair	[ f?? ]	любезно, хорошо, справедливый
offensive	[ ?'fensiv ]	наступление
appalling	[ ?'p?:li? ]	ужасный, плачевный
dwarf	[ dw?:f ]	карлик, гном (миф.) (не gnome)
elf	[ elf ]	Эльф (TR!)
dormitory	[ 'd?:mitri ]	спальня
shelter	[ '?elt? ]	приют, убежище
business	[ 'biznis ]	дело, бизнес, деловой
rug	[ r?g ]	ковер
floor	[ fl?: ]	"пол, этаж; одолеть, смутить"
court	[ k?:t ]	корт, двор
thief	[ ?i:f ]	вор
arson	[ '?:sn ]	поджог
approach	[ ?'pr?u? ]	приближаться, подступ
vaguely	[ 've?gl? ]	неопределенно (TR!)
refuge	[ 'refju:? ]	убежище
violent	[ 'vail?nt ]	яростный
accommodation	[ ?,k?m?dei?n ]	удобство, согласование
row	[ r?u ]	грести
seat	[ si:t ]	место, сиденье, сажать, усаживать
married	[ 'm?rid ]	женатый, замужняя
single	[ si?gl ]	один, одинокий
habits	[ 'h?bits ]	привычки (TR!)
long	[ l?? ]	длинный, долгий, долго
heavy	[ 'hevi ]	тяжелый
early	[ '?:li ]	рано
late	[ leit ]	поздно
slow	[ sl?u ]	медленный, замедлять
fast	[ f?:st ]	спешащий, сильно, быстро (fast)
safe	[ seif ]	сейф, безопасный, надежный
dangerous	[ 'dein??r?s ]	опасный
big	[ big ]	большой
small	[ sm?:l ]	маленький, тонкий, скромный
hot	[ h?t ]	горячий
narrow	[ 'n?r?u ]	узкий
wide	[ waid ]	широкий
alas	[ ?'l?s ]	увы (TR!)
shape	[ ?eip ]	форма
expressive	[ iks'presiv ]	выразительный
skinny	[ 'skini ]	худой, тощий, кожа да кости (!NEW!)
plump	[ pl?mp ]	пухлый, полный (не swell)
bust	[ b?st ]	бюст
acquisition	[ ,?kwi'zi??n ]	приобретение
rare	[ r?? ]	редкий, недожаренный
assistant	[ ?'sist?nt ]	помощник
current	[ 'k?r?nt ]	течение, ток
purchase	[ 'p?:??s ]	покупка, покупать
subscription	[ s?b'skrip??n ]	подписка
lend	[ lend ]	дать в долг
permanently	[ 'p?:m?n?ntli ]	постоянно
deliberately	[ di'lib?ritli ]	сознательно, обдуманно ((!NEW!))
privacy	[ 'priv?si ]	уединенность
host	[ h?ust ]	хозяин
impatient	[ im'pei??nt ]	нетерпеливый
numb	[ n?m ]	онемелый, оцепенелый (не dumb, )
offence	[ ?'fens ]	обида
ban	[ b?n ]	запрещать
old	[ ?uld ]	старый
new	[ nju: ]	новый
lovely	[ 'l?vli ]	прекрасный, восхитительный
interesting	[ 'intristi? ]	интересный
bad	[ b?d ]	плохой
expensive	[ iks'pensiv ]	дорогой
cheap	[ ?i:p ]	дешевый
great	[ greit ]	великий
difficult	[ 'difik?lt ]	трудный
easy	[ 'i:zi ]	легкий, простой
boring	[ 'b?:ri? ]	скучный
simple	[ simpl ]	простой, однозначный
friendly	[ 'frendli ]	дружеский, дружелюбный
various	[ 'v??ri?s ]	различный, разный
limited	[ 'limitid ]	ограниченный
modern	[ 'm?d?n ]	современный
each	[ i:? ]	каждый
terrible	[ 'ter?b(?)l ]	ужасный, страшный
wet	[ wet ]	мокрый
comfortable	[ 'k?mf?t?bl ]	удобный
steel	[ sti:l ]	сталь
thereby	[ '???'bai ]	таким образом
consequences	[ 'k?nsikw?nsiz ]	последствия (TR!)
hasty	[ 'heisti ]	поспешный, необдуманный
debt	[ det ]	долг
socket	[ 's?kit ]	патрон (эл. лампочки), глазная впадина
cinema	[ 'sinim? ]	кино
innocent	[ 'in?s?nt ]	наивный, невинный
bloom	[ blu:m ]	цветение
lack	[ l?k ]	недостаток
order	[ '?:d? ]	порядок, приказ, заказ, заказывать, приказывать
tips	[ tips ]	наконечники(чаевые) (TR!)
careless	[ 'k??lis ]	беззаботный
flee	[ fli: ]	бежать
puddle	[ p?dl ]	лужица, смущать, барахтаться в воде
futile	[ 'fju:tail ]	бесполезный, тщетный, пустой (о человеке)
weep	[ wi:p ]	плакать
distress	[ dis'tres ]	"горе, нужда; огорчать, расстраивать"
pressing	[ 'presi? ]	срочный, настойчивый
gooseberry	[ 'guzberi ]	крыжовник
novel	[ 'n?v(?)l ]	роман
textbook	[ 'tekstbuk ]	учебник
handbook	[ 'h?ndbuk ]	справочник, руководство (не guidance)
appendix	[ ?'pendiks ]	приложение, аппендикс (анат.)
supplement	[ n's?plim?nt ]	добавление
chapter	[ '??pt? ]	глава (книги)
introduction	[ ,intr?'d?k??n ]	введение
evaluation	[ i,v?lju'ei??n ]	оценка (не estimation)
parent	[ 'p??r?nt ]	родитель, родственник
prisoner	[ 'prizn? ]	заключенный
victim	[ 'viktim ]	жертва
untidy	[ ?n''taidi ]	неаккуратный
disgrace	[ dis'greis ]	позор, немилость
tournament	[ 'tu?n?m?nt ]	турнир
competition	[ ,k?mpi'ti?n ]	соревнование
lap	[ l?p ]	подол
jet	[ ?et ]	струя (воды, пара, газа)
diamond	[ 'dai?m?nd ]	алмаз, бриллиант
ruby	[ 'ru:bi ]	рубиновый
amber	[ '?mb? ]	янтарь, янтарный
pearl	[ p?:l ]	жемчуг, жемчужный
gem	[ ?em ]	драгоценный камень
prefer	[ pri:f?: ]	предпочитать
abide	[ ?'baid ]	ждать, терпеть
desire	[ di'zai? ]	желание
concede	[ k?n'si:d ]	уступать, допускать
request	[ ri'kwest ]	просьба
demand	[ di'm?:nd ]	требовать
regard	[ ri'g?:d ]	взгляд, внимание, смотреть, считать
effort	[ 'ef?t ]	усилие, напряжение
generous	[ '?en?r?s ]	великодушный
area	[ '??ri? ]	площадь, район
repeat	[ ri'pi:t ]	твердить, говорить наизусть
tackle	[ 't?kl ]	хватать
install	[ in'st?:l ]	водворять, устраивать, устанавливать
resume	[ ri'zju:m ]	итог, сводка, возобновлять, подводить итог
produce	[ pr?'dju:s ]	производить
explain	[ iks'plein ]	объяснять
both	[ b?u? ]	оба
recent	[ 'ri:s(?)nt ]	недавний
input	[ 'input ]	вход (TR!)
owe	[ ?u ]	быть должным
appear	[ ?'pi? ]	появляться
trouble	[ tr?bl ]	неприятность, беда, беспокоить(ся), волноваться
hour	[ 'au? ]	час
sign	[ sain ]	подписывать(ся), знак, вывеска
spot	[ sp?t ]	пятно
luxury	[ 'l?k??ri ]	роскошь
coincidence	[ k?u'insid?ns ]	совпадение
inhabitant	[ in'h?bit?nt ]	житель
device	[ di'vais ]	прибор, схема, проект, прием, устройство
means	[ mi:nz ]	средство, способ
resource	[ ri's?:s ]	ресурс, средство
tear	[ t?? ]	слеза, разрыв, (по)рвать
spray	[ sprei ]	брызги, обрызгивать
gear	[ gi? ]	механизм
habit	[ 'h?bit ]	привычка
succession	[ s?k'se??n ]	последовательность
breast	[ brest ]	грудь
toe	[ t?u ]	палец
month	[ m?n? ]	месяц
personal	[ 'p?:snl ]	личный
success	[ s?k'ses ]	успех, удача
statement	[ 'steitment ]	утверждение, заявление
delivery	[ di'liv?ri ]	доставка
share	[ ??? ]	разделять, доля, часть
connect	[ k?'nekt ]	соединять
notice	[ 'n?utis ]	извещение, сообщение, замечать, обращать внимание
nod	[ n?d ]	кивать головой, кивок
create	[ kri:'eit ]	создавать
offend	[ ?'fend ]	обижать, обидеть
possess	[ p?'zes ]	обладать
behave	[ bi'heiv ]	вести себя
efficient	[ i'fi??nt ]	эффективный
average	[ '?v?ri? ]	средний
financial	[ fai'n?n??l ]	финансовый
commercial	[ k?'m?:??l ]	торговый
common	[ 'k?m?n ]	общий
empty	[ 'empti ]	пустой
successful	[ s?k'sesful ]	удачный, успешный
calmly	[ 'k?:mli ]	тихо, спокойно (!NEW!)
politely	[ p?'laitli ]	вежливо (!NEW!)
warily	[ 'w?r?l? ]	осторожно
firmly	[ f?:mli ]	твердо, решительно
sadly	[ s?dl? ]	печально
cautiously	[ 'k?:??sl? ]	осторожно ((!NEW!))
swiftly	[ swiftl? ]	быстро (!NEW!)
anxiously	[ '??k??sli ]	тревожно ((!NEW!))
carefully	[ 'k??fli ]	осторожно, внимательно
document	[ 'd?kjum?nt ]	документ
racing	[ 'reisi? ]	гоночный (
quay	[ ki: ]	набережная
mansion	[ 'm?n??n ]	дворец
picturesque	[ ,pik??'resk ]	живописный
dusty	[ 'd?sti ]	пыльный
vicious	[ vi??s ]	порочный
bully	[ 'buli ]	запугивать (не scare)
sweetheart	[ 'swi:th?:t ]	возлюбленный(ая), дорогой(ая) (как обращение)
incredible	[ in'kred?bl ]	невероятно
wealth	[ wel? ]	богатство
invade	[ in'veid ]	вторгаться
stare	[ st?? ]	пристальный взгляд
reason	[ ri:zn ]	причина, довод, разум, рассудок
complain	[ k?m'plein ]	жаловаться
notorious	[ n?u't?:ri?s ]	известный, отъявленный
willingly	[ wil? ]	охотно
frequently	[ fri:kw?ntl? ]	часто
former	[ 'f?:m? ]	бывший
similar	[ 'simil? ]	похожий
achievement	[ ?'?i:vm?nt ]	выполнение, достижение
fluently	[ 'flu:?ntli ]	бегло, гладко
acquit	[ ?'kwit ]	оправдывать
robbery	[ 'r?b?ri ]	грабеж
swindle	[ 'swindl ]	обман, обманывать, надувать (не deceive)
murder	[ 'm?:d? ]	убийство
punishment	[ 'p?ni?m?nt ]	наказание
evidence	[ 'evid?ns ]	доказательство
indirect	[ ,indi'rekt ]	косвенный
bar	[ b?: ]	бар
dock	[ d?k ]	док, пристань
robber	[ 'r?b? ]	грабитель
convict	[ k?n'vikt ]	признать виновным, осудить
cache	[ k?? ]	тайник (TR!)
dove	[ d?v ]	голубь
lark	[ l?:k ]	жаворонок
falcon	[ 'f?:lk?n ]	сокол
heron	[ her(?)n ]	цапля
germany	[ 'd??:rm?n? ]	германия (TR!)
abominable	[ ?'b?min?bl ]	отвратительный, противный
extension	[ iks'ten??n ]	расширение
design	[ di'zain ]	проектировать, спроектировать
bottom	[ 'b?t?m ]	"дно, донышко; нижняя часть"
application	[ ,?pli'kei?n ]	заявление, применение
