leg	[ leg ]	нога
acorn	[ 'eik?:n ]	желудь
pine	[ pain ]	сосна
cone	[ k?un ]	конус, шишка (еловая)
trunk	[ tr??k ]	ствол, туловище
bark	[ b?:k ]	кора дерева
root	[ 'ru:t ]	корень
leaf	[ li:f ]	лист
twig	[ tw?g ]	веточка, прутик
beech	[ bi:? ]	бук
ash	[ ?? ]	ясень
chestnut	[ '?esn?t ]	каштан
walnut	[ 'w?:ln?t ]	грецкий орех
mountain	[ 'mauntin ]	гора
hill	[ hil ]	холм, гора
river	[ 'riv? ]	река
village	[ 'vili? ]	деревня
bridge	[ bri? ]	мост
orchard	[ '?:??d ]	фруктовый сад
pond	[ p?nd ]	пруд (не pool)
stable	[ 'steibl ]	конюшня
hay	[ hei ]	сено
field	[ fi:ld ]	поле
fence	[ fens ]	забор
barn	[ b?:n ]	амбар
tent	[ tent ]	палатка
blocks	[ bl?ks ]	кварталы (от block)
puzzle	[ p?zl ]	приводить в затруднение, загадка
shovel	[ '??vl ]	лопата
clay	[ klei ]	глина, земля
nightingale	[ 'naiti?geil ]	соловей
violet	[ 'vai?l?t ]	фиолетовый (не purple)
consciousness	[ 'k?n??snis ]	сознание, сознательность
abstract	[ '?bstr?kt ]	отвлеченный, абстрактный
dramatic	[ dr?'m?tik ]	драматический
grand	[ gr?nd ]	величественный
resident	[ 'rezid?nt ]	постоянный житель
prop	[ pr?p ]	подпорка, опора, подпирать
odd	[ ?d ]	странный
recommend	[ ,rek?'mend ]	рекомендовать
comb	[ k?um ]	гребенка, расчесывать, расчесать
brush	[ br?? ]	щетка, чистить щеткой
razor	[ 'reiz? ]	бритва
scissors	[ 'siz?z ]	ножницы
powder	[ 'paud? ]	пудра
perfume	[ 'p?:fju:m ]	духи
pike	[ paik ]	щука (не lung)
fry	[ frai ]	(за)жарить
smelt	[ smelt ]	плавить
salmon	[ 's?m?n ]	лосось
trout	[ traut ]	форель
oyster	[ '?ist? ]	устрица
fin	[ fin ]	плавник
scale	[ skeil ]	масштаб
net	[ net ]	сеть
bait	[ beit ]	приманка
float	[ fl?ut ]	плавать, поплавок
prey	[ prei ]	жертва
glove	[ gl?v ]	перчатка
hat	[ h?t ]	шляпа
skirt	[ sk?:t ]	юбка
trousers	[ 'trauz?z ]	брюки
uniform	[ 'ju:nif?:m ]	форма, форменная одежда
necklace	[ 'neklis ]	ожерелье
belt	[ belt ]	пояс, ремень
button	[ b?tn ]	кнопка, пуговица
glasses	[ gl?:siz ]	очки
pocket	[ 'p?kit ]	карман
umbrella	[ ?m'brel? ]	зонт
purse	[ p?:s ]	кошелек
criminal	[ 'kriminl ]	преступник, уголовный
break	[ breik ]	ломать
timid	[ 'timid ]	робкий, застенчивый
bomb	[ b?m ]	бомба, бомбить
submarine	[ 's?bm?ri:n ]	подводная лодка
tank	[ t??k ]	танк, резервуар
cannon	[ 'k?n?n ]	пушка, орудие
navy	[ 'neivi ]	военный флот
sailor	[ 'seil? ]	матрос
army	[ '?:mi ]	армия
soldier	[ 's?ul?? ]	солдат
marine	[ m?'ri:n ]	морской флот, морской
rifle	[ 'raifl ]	ружье, винтовка
trigger	[ 'trig? ]	курок
barrel	[ 'b?r?l ]	баррель
bullet	[ 'bulit ]	пуля
fish	[ fi? ]	рыба
kitten	[ kitn ]	котенок
tortoise	[ 't?:t?s ]	черепаха
blow	[ bl?u ]	дуть
clap	[ kl?p ]	"хлопать, аплодировать; удар, хлопок"
laugh	[ l?:f ]	смех, смеяться
open	[ ?upn ]	открывать
point	[ p?int ]	точка, пункт, суть дела, указывать, показывать
touch	[ t?? ]	соприкосновение, контакт
walk	[ w?:k ]	гулять, ходить пешком (не hike)
close	[ kl?us ]	закрывать(ся)
cough	[ k?f ]	кашель
crawl	[ kr?:l ]	ползать (не creep)
cry	[ krai ]	кричать, восклицать
dance	[ d?:ns ]	танцевать
jump	[ ??mp ]	прыгать
hop	[ h?p ]	хмель (бот.)
fall	[ f?:l ]	падать
drop	[ dr?p ]	капля, падать, ронять
draw	[ dr?: ]	рисовать
read	[ ri:d ]	читать
run	[ r?n ]	бегать, двигаться, бег, движение, направление
scratch	[ skr?? ]	царапать
scream	[ skri:m ]	вскрикнуть, зареветь, визг, вопль (не shriek)
smile	[ smail ]	улыбаться, улыбка
sing	[ si? ]	пение, петь
shout	[ ?aut ]	кричать, крик
shake	[ ?eik ]	пожать (руки), дрожать, трясти
whisper	[ 'wisp? ]	шепот, шептать
whistle	[ 'w?s?l ]	свист, свистеть
write	[ rait ]	писать, записывать
soap	[ s?up ]	мыло
bug	[ b?g ]	клоп, насекомое, жук (амер.)
herring	[ 'heri? ]	сельдь
oil	[ ?il ]	масло
engine	[ 'en?in ]	двигатель, мотор, машина
wheel	[ wi:l ]	колесо
tyre	[ 'ta??r ]	шина
boot	[ bu:t ]	ботинок, сапог
bonnet	[ 'b?nit ]	капор, дамская шляпа
restrain	[ ris'trein ]	сдерживать
piano	[ 'pj?n?u ]	пианино
harp	[ h?:p ]	арфа
bow	[ bau ]	кланяться, сгибаться
string	[ stri? ]	вереница, ряд, струна, связывать
drum	[ dr?m ]	барабан
trumpet	[ 'tr?mpit ]	труба
organ	[ '?:g?n ]	орган
universe	[ 'ju:niv?:s ]	мир, вселенная
substance	[ 's?bst?ns ]	вещество
science	[ 'sai?ns ]	наука, умение
precision	[ pri'si??n ]	точность
stem	[ stem ]	стержень
lily	[ 'lili ]	лилия
daisy	[ 'deizi ]	маргаритка
bulb	[ b?lb ]	луковица, электрическая лампочка
rose	[ r?uz ]	роза
bud	[ b?d ]	почка, бутон, давать почки, пускать ростки
thorn	[ ??:n ]	шип, колючка (не prick)
sunflower	[ 's?n,flau? ]	подсолнух
jumper	[ '??mp? ]	джемпер
bed	[ bed ]	постель
pillow	[ 'pil?u ]	подушка
sheet	[ ?i:t ]	простыня, лист, пласт
blanket	[ 'bl??kit ]	одеяло
mirror	[ 'mir? ]	зеркало
mattress	[ 'm?tris ]	матрац
closet	[ 'kl?zit ]	чулан
diver	[ 'daiv? ]	водолаз
engineer	[ ,en?i'ni? ]	инженер
cook	[ kuk ]	готовить, повар
trainer	[ 'trein? ]	тренер
conductor	[ k?n'd?kt? ]	кондуктор
surgeon	[ 's?:??n ]	хирург
building	[ 'bildi? ]	здание
store	[ st?: ]	магазин, имущество, запасать, снабжать
